address,amounts
0x7E3B70879b490f6f0F39B237d8F9fDd248539973,550
0xDFb732c3955D923d522a86cFeE937026a43F63a3,275
0xd7072d03a2706345850be978D618c41502304129,275
0x4F60Dc21a22207BA1eb21572759851cb3729B5e1,275
0xd745573Cdaa82965cBb032EF617Cda3d2803B5af,275
0xeEA498052A14a38cEBf107d0F0f0eF30Cc674F7B,275
0x6fb2AAE794c33b1131a6F12d8c84C4fD84327e58,2275
0xAA6d995fE028FAE955133B7416fb8Ba22C8e6018,275
0x13d2A02530E987F68b9df14AaCeF417525547410,550
0x52f8d62c259eef508EeD99385Be4E3f5bbe03B6b,275
0x06001c77A65B861249D4d6A2BFCEa6Dc8325376C,275
0x98Ec15A3f43F5304243E841898345BaDe65bf050,275
0x8331b95e050690240743b53830eb30fc3b2ba647,275
0x5C10C47B2D848e06a5DffA45B3bc10860797cDAd,550
0x30c6F05361f9559742fC589113Df5E5bc7038Ee5,275
0xCadEB66B39cEeCc12630f85a0739De723bbDB5Ab,6550
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,275
0x69fb146D0Fd6f833eA9329c5e019aE47C0A04915,275
0xDfa40abd50920F36A9dC9d1d0F6B38C09636A354,275
0x27B39D1bB412DFe15579e5CBDAF6177d598d4f85,275
0x7a0aDb8d368E44e0EFAF479Ee9c8d962816490B0,275
0x0220a07E02A1161Bf3345F8baba0a5890253Fb9E,275
0x32B1Dc6A72eb673c539cEA9d0C029D92a6344D7a,275
0x36E729b3107762e51dDE266E11803DcA28Bef030,550
0x398fDC534b73abB2940aE2a1323d04D253d31884,275
0xA009D96EFB69bC8e328d43c4d18dd9B6d7422BC8,275
0x266C497d665e3787D3405A47cedb4AB60b05a812,275
0xA7f24da84f5e3A08449f273c418e7ad604d1F27b,275
0x70b02D35D731bb8Db768053E1F40c3036aFDFABa,275
0x332Bf9A3CFe7D67DA15Cc774E69697B71D01Fa66,275
0x9fd6e064b03612ab4f33306e85ecb15334befe0f,275
0x2d5d79E54986DcAccAa1e79C0F9A37E78E8c7Dbd,275
0x82A3529f832aCB41e51F27a0E9e109E42e243AA4,8200
0xb4c91aB467C137E9D7C18e2a349b2F8555e95754,275
