address,amount
0x0d40fb7648ec5c04a3ea834ff7a010db062eeb93,170.0
0xdce689d43b730540da3791d60f8c5823252c8257,85.0
0xbb9206be2ced850b7bb0632097ec7a82e246bf88,255.0
0xdfd2144eb8cc1212551d50b00b18a2fefcf6762b,255.0
0xa5afa3b17e24f8f132a68721baf0a1a42146d87f,170.0
0x92ec8341987e57b5cf3b4d936764fe989d87bf0d,170.0
0x0fbd9e7a2e297b284b64f0808d281cb6803c5352,170.0
0xd7458cb7bc40abd3dd915416c971b33f311c5172,170.0
0x12b3f779d0293f94644a1f19daafd79500407ecd,170.0
0xb7e0a5570599a71d033216cc1a43e7d843172ae8,170.0
0x965c18c661dd6ca991e5264ad113133acb4dd1db,170.0
0x9525088af38b520b8d3bb960f97af584823e8fca,170.0
0x082e3127cdaa723486c5d095bb00c8fcca8bfdb3,170.0
0xf8aa5e96664174ad7e2713fb4473dafe379bb051,340.0
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,340.0
0x93a6b1981cf7cd78d1a484985ba7a73d30e95c17,170.0
0x4b1187e25aefeee97976de72e23db374399cd121,85.0
0x509abffc5e8d3149fd9ae3dec849797d6a3bdbe6,340.0
0xa85dd50a3ad9668d82f953fa47aa13dfeb30cab0,170.0
0xd4e8d65fbfade804243c6ef6e29c89e820b32645,170.0
0xd82cdde0e186e41d92ab6c81840e4c2694467c21,170.0
0x9c512e0d721a444d2c0f36a5c6757a97a497436a,170.0
0x495704e516dbdd569064c77bcdf976c1ddf4c65f,170.0
0xf63120d1f587b5ff28a63acf2c89041bdd86221d,340.0
0xb687e75958b907f968f0674b1d10a5d2ed946a86,85.0
0x80f4150f4552fa20bee7aed9285f7c02833c8153,85.0
0xe7916da58516db5decd9580477a0fe902874c15c,170.0
0xb01cc67c905f620f66188e531bb1eefe53df9f6a,170.0
0x130c5759d366d542f4b9a066c96d1d5099b5bbd0,170.0
0x9fe5639dfa048bd3a4a5fcf61c30f65f51ce96e4,170.0
0x62b3347172df8da90ef41cf5cbbb34e1ed5d16f9,170.0
0x97c6f1ddd360dcaed5aeedac7e7e841a36f71c6f,170.0
0xcefb6d3824ae14bbe7ecf5774222785706b46a40,170.0
0x7982d2337741a22a82f87a94c51fd2f0a0df3941,170.0
0x2a1c8e196702991e5ca4d7a4bb8a0685ee1b38a8,170.0
0x0fb96584ac65a23dbf9236599a9cdefa87aa8722,340.0
0x164ab5c0c28611b97173026bdfbd7eb47de3fdb7,255.0
0x6ea35bb7b426a1bb4788c4d73d3c8b73adf0b9d3,255.0
0x9a03af58daab526035ef478ba1882907e43113cb,170.0
0x682f11e8d2b01653f468914859fd33b5fa624522,85.0
0x43a81239a7dc180dec1ced577509c97081a3de26,170.0
0x69e6e333331534ceeaf535418378a86904df0d86,170.0
0x65aa70fc515578410598f3812a18e02c88ba6aa7,170.0
0xd517b2add2d2b1922a47d98a415f343ffabc96c1,85.0
0xad0b0585c79a83091e6f6a9726c21e21286baa15,255.0
0xe9d99deea6a4da5c7e32cab1495f58139b70f8c3,510.0
0x999eaa01cb8c0f468bf1288370752900645e538f,85.0
0x5d6ea86334d8cf9ecbc2adf1ca837d4e6fd2f031,170.0
0x32b757621a286104fa0b045ebf2ebd34b495a5be,340.0
0xc33c1560ff81f6a57c7dac79e1c2d327d63b0479,255.0
0x7cea6612d62d82f9558355133e9a648f09234d1c,170.0
0xe8cfc17d241d095df0d64b10da5eecda059d1b00,170.0
0x44e890bf6eb2a59ca2ae38242361ead256e382b2,255.0
0x87716cab3fcc7b5c5a8d0aff06cdae0a716f4e7c,340.0
0xce8c2b93f511af49d30b857a700d41e3bc16d1cc,340.0
0x6ee220eead6d56ebcab6cebfe78b24f30f40929c,85.0
0x7f5e5f8a5e1509afa5167f5ee024052a62af37d3,170.0
0x8b190a162e643760d91a02fb35dcec858c4e51dc,510.0
0x6169ae7075c96a59533318c91b67009450e4a7f8,510.0
0x62a1d1c6917f7758990e9a77c23228f821c2efbf,170.0
0x56db32b4cab162aabd057a852ba616b017a79790,510.0
0x9aa9ffb1c19e6fdc1c849eb85259beb0aa2a1855,170.0
0x55cd987a00536fae8e1f3effc2a6ce874393e6e1,85.0
0x38fc0a43172712a7097af5a4c66e4019a294fdf1,170.0
0xe6632150ceabaec996be33c17df245ef5ad7d25e,170.0
0xca818fff663e3623033cfb0c4d2fa47869bd7c2e,510.0
0xc70fdce789d59d3edba8c3efb5da283ff2f54eaf,170.0
0x97b102e00d88f02debfd6b1e4b901dd6931bb982,85.0
0xfc0fffdd6bcb0980e545c3969050ff0c294cca40,170.0
0x698e1fc4ab7bf6be565d6a2a15f6f0250f93d90c,170.0
0x26c6ad0ffd2faf3e1fb8c130e090a9767845541f,170.0
0x0a22f7f4032629f7366496c10cc331f59244839b,170.0
0xcee7c0b5e5f7091d981aa5afd59fcd4f85953206,170.0
0x9b85ee94c25294d5e2bf9c9b9b5fa5b58602fad3,255.0
0x438803eb5d199c283aadab6d0db8cd3968fbf6ad,170.0
0x59e45131e64bf57e71fe8c86421664337f28e9ab,510.0
0x9a9b180d3235ec2c0593c5fca28e6179fce61ed3,170.0
0xad4ae30056916b342ed73b21d218b28e7c76fd49,170.0
0x300b2e82b6cf047f7020779ac608b4166dee956e,170.0
0x2747165b3cd59e83f37c95213abeb47939f23d72,170.0
0xc5afa6a17fb1650256efb8d75bcd02b8f10aa26c,170.0
0xcd70392bfddea98578a9087a630791e0ed75e114,170.0
0x4b30e3b403d74dd22f7f06d3e7744ffc28a1420e,170.0
0x44153029d727a55114e64bb80c140d87385746b8,170.0
0x6d4793ecab20bc68e13f776fa2add2f0dc69d8c1,170.0
0x192513387b1bc31597ebf9f858e19bcb410ead6b,255.0
0x3090b15078ae316befedd304bd38413e26cb6d88,85.0
0xbb517c33d40de9007ea881b691a8bbff5a208564,170.0
0xb67d81bd489a1974b0010d48c81e47a7d7e4db0c,85.0
0x8d1fb11edfb0910604f9d45b17bf96af1532401a,85.0
0xaa02f9f3f4fa15c71a25a24d525b4ee80b727ede,170.0
0x60acb441be7fb967e40072b8f3492586c3b32bbe,425.0
